bairro,lat_lon
Alto São João,"-23.031524, -45.552536"
Alto São Pedro,"-23.031725, -45.544638"
Ana Rosa,"-23.006061, -45.540900"
Areão,"-23.001370, -45.558578"
Baronesa,"-23.044787,-45.5640888"
Barranco,"-23.0098752,-45.599867"
Barreiro,"-23.0671723,-45.5844208"
Belém,"-23.048930, -45.554622"
Bom Conselho,"-23.040103, -45.577673"
Bonfim,"-23.031619, -45.601028"
Bosque da Saúde,"-23.029977, -45.543015"
Caminho Novo,"-22.998597, -45.546451"
Campos Eliseos,"-23.039494, -45.553394"
Cataguá,"-23.073280, -45.560595"
Cecap,"-23.037184, -45.616185"
Centro,"-23.026573, -45.555731"
Chafariz,"-23.029058, -45.551662"
Chácara Cataguá,"-23.069417, -45.564927"
Chácara Felix,"-23.0508177,-45.5603943"
Chácara Flórida,"-23.0458757,-45.6122959"
Chácara Guisard,"-23.026516, -45.574011"
Chácara Hipólito,"-23.0340154,-45.5600363"
Chácara Santa Luzia,"-23.0845483,-45.5856654"
Chácara Silvestre,"-23.0170539,-45.5248825"
Chácara do Visconde,"-23.019996, -45.567669"
Chácaras Reunidas Brasil,"-23.054631, -45.566457"
Cond. Vila Verde,"-23.0689496,-45.5525549"
Emecal,
Esplanada Independencia,"-23.030576, -45.589384"
Esplanada Santa Helena,"-22.9987925,-45.58047"
Esplanada Santa Terezinha,"-23.003644, -45.568721"
Estiva,"-23.0174043,-45.5774211"
Flamboyabt,xxx
Flor do Vale,"-22.986331, -45.528466"
Granja Santa Terezinha,"23.0518356,-45.5718702"
Gurilândia,"-23.002571, -45.529310"
Imaculada,
Independência,"-23.034931, -45.584209"
Itaim,
Jabuticabeiras,"-23.0373513,-45.569809"
Jaraguá,"-23.001479, -45.543370"
Jardim America,"-23.036731, -45.538507"
Jardim América,"-23.037502, -45.538143"
Jardim Ana Emília,"-23.018838, -45.539089"
Jardim Ana Lúcia,"-23.0429185,-45.5463014"
Jardim Ana Rosa,"-23.006060, -45.540981"
Jardim Bom Conselho,"-23.0284981,-45.5667471"
Jardim California,"-23.003413, -45.552259"
Jardim Colombia,"-23.035142,-45.5746011"
Jardim Continental,"-23.0611929,-45.5770457"
Jardim Eliete,"-23.050168, -45.563879"
Jardim Eulália,"-23.041866, -45.561651"
Jardim Humaita,"-23.035489, -45.557948"
Jardim Maria Augusta,"-23.024842, -45.544973"
Jardim Morumbi,
Jardim Mourisco,"-23.008812, -45.562726"
Jardim Neusa Maria,"-23.0222159,-45.5496751"
Jardim Resende,"-23.0107538,-45.5681023"
Jardim Sandra Maria,"-23.028439, -45.529155"
Jardim Santa Clara,"-23.014599, -45.547985"
Jardim Santa Isabel,"-23.018125, -45.571438"
Jardim Santa Tereza,"-23.052276, -45.628143"
Jardim Sônia Maria,"-23.029551, -45.533636"
Jardim das Nações,"-23.032180, -45.573228"
Jardim do Sol,"-23.0156639,-45.5371592"
Jardim dos Lagos,"-23.048333,-45.5812185"
Jardim dos Passos,"-23.0241796,-45.5720511"
Jardim dos Passáros,xxx
Marlene Miranda,"-23.075058, -45.546640"
Monjolinho,"-23.068991, -45.455128"
Monte Belo,"-23.0493785,-45.5592923"
Monção,
Morada dos Nobres,"-23.060336, -45.566940"
Mourisco,"-23.008919, -45.562520"
Novo Horizonte,"-23.0367656,-45.6159148"
Parque Aeroporto,"-23.012446,-45.5906267"
Parque Arco Iris,"-23.0010742,-45.5657491"
Parque Paduan,
Parque Santo Antônio,"-23.006193, -45.558603"
Parque São Luis,"-22.997158, -45.560827"
Parque Três Marias,"-23.027086, -45.533175"
Parque Urupês,"-23.0001639,-45.5402186"
Pinheirinho,"-22.996901, -45.648790"
Quiririm,"-23.0286059,-45.6305587"
Recanto dos Coquerais,"-23.012408,-45.5758837"
Residencial Arco Íris,
Residencial Bom Conselho,
Residencial Jardim Oásis,
Residencial Ouro Ville,"-23.0402284,-45.6357112"
Residencial São Francisco,
Residêncial Sitio Santo Antônio,"-23.0083335,-45.523869"
San Marino,"-23.0031705,-45.5269535"
Santa Helena,"-22.9987925,-45.58047"
Santa Isabel,"-23.0174122,-45.5732924"
Santa Izabel,"-23.0007481,-45.576349"
Santa Iês,"-22.998398, -45.569504"
Santa Tereza,"-23.052395, -45.628057"
Sitio Santo Antônio,"-23.0083335,-45.523869"
São Gonçalo,"-23.052618,-45.595489"
São Paulo,"-23.0217018,-45.5679979"
Taubaté Village,"-23.026839,-45.5827655"
Terra Nova,"-23.029388, -45.538177"
Vale das Flores,"-23.052618,-45.595489"
Vila Aparecida,"-23.0117156,-45.5670842"
Vila Bela,"-23.007863, -45.587121"
Vila Costa,
Vila Edmundo,"-23.024852, -45.571188"
Vila IAPI,"-23.020193, -45.562534"
Vila Marli,"-23.012711, -45.557067"
Vila Nogueira,"-23.0106189,-45.5636041"
Vila Olímpia,"-22.998546, -45.536396"
Vila Prosperidade,"-23.007618, -45.577902"
Vila Rica,"-23.018115, -45.569859"
Vila São Geraldo,"-22.9998391,-45.5583359"
Vila São José,"-23.014975, -45.542538"
Vila das Graças,"-23.016573, -45.555156"
Vila dos Comerciários,"-22.996171, -45.575425"
Água Quente,"-23.001511, -45.536088"
